time_ms,cond_faces_uV,cond_objects_uV,electrode
84,-0.4015086375882124,0.30010436751197184,P8
88,0.6243960681216638,-0.6381979400836493,P8
92,-0.300712200113022,0.20697068957533923,P8
96,-0.4701711656554699,-0.3631114895934255,P8
100,-0.07597068093920806,0.11672489193160052,P8
104,-0.3628627542291835,-0.9251279026292589,P8
108,-1.715922415005034,-0.6754852336062631,P8
112,-0.8166062326509904,0.01636288548571746,P8
116,-1.4782949809232522,-0.42211840101775056,P8
120,-2.1548217335494853,-1.2133319464230112,P8
124,-1.4825637156639924,-0.5813322628316147,P8
128,-1.7939798847911674,-1.9823032157606484,P8
132,-2.593370595205114,-0.8812893840240896,P8
136,-2.091505565181482,-1.754146001883954,P8
140,-3.5437659622512965,-1.3678691821055826,P8
144,-4.3885559249282275,-2.360116379444029,P8
148,-4.936801889138656,-1.946749124378218,P8
152,-5.402456007198213,-2.1866680842923043,P8
156,-5.51304658586243,-3.875964108350457,P8
160,-5.731485729476773,-3.751270059153797,P8
164,-5.7879569432828255,-3.8590379528561716,P8
168,-6.147891141174444,-2.990274101329637,P8
172,-5.7067538127908035,-3.084414503673001,P8
176,-5.49025923101563,-2.3667691294049154,P8
180,-6.061507058371941,-3.530111414465189,P8
184,-5.687627947506545,-2.9457022597253366,P8
188,-4.4506197680716975,-2.269216973254736,P8
192,-4.727390369660519,-1.7491199314484358,P8
196,-3.4938416372494343,-1.3942373915620556,P8
200,-4.417569277893481,-2.071225951661554,P8
204,-2.560524494159343,-1.5070954204187497,P8
208,-1.57715898273518,-1.8112446641452538,P8
212,-1.7040319626648666,-1.0723780343682707,P8
216,-1.1039425983631568,-0.6333448899852792,P8
220,-1.087880766233523,-0.2152534788846584,P8
224,-1.6427752285677102,-0.65370388973008,P8
228,-0.7257524696974825,-0.9158447253119519,P8
232,-1.0240669403627618,-0.1120084715834184,P8
236,-0.25797304311811176,-0.2894286851342178,P8
240,-0.758236835527413,-1.1378409829134726,P8
244,-0.4864916907194402,0.06980409714372798,P8
248,-0.2743909934640163,-0.30456614028850026,P8
252,0.16316150631546006,-1.2179143567019624,P8
256,-0.1545330760587242,-0.21476411982804244,P8
260,-0.26954682722950896,0.4330004875764846,P8
264,-0.5601451471760888,-0.6600564037284237,P8
268,-1.096504000930345,-0.6067276584476512,P8
272,0.3770589182847711,-0.7054318245875912,P8
276,0.10020307010680028,-1.2527131882862843,P8
280,0.5548285788768108,0.10386526454278149,P8
284,-0.8367193922179178,-0.15053497733036206,P8
288,0.2764582752623815,-0.8472856392199964,P8
292,0.5047185410128878,0.6336912257503204,P8
296,0.17671663729713727,0.3862182510409125,P8
300,0.30899864845026975,0.448551536828707,P8
304,0.3933943034826702,-0.40336371070975957,P8
308,0.4767215937938544,0.25456644268647866,P8
312,0.2338594681152041,0.27274557098837965,P8
316,-0.19029238070185509,0.2698489290592265,P8
320,-0.3648136730833979,0.565875689677382,P8
324,-0.6711967765532394,-0.3807115998678045,P8
328,-0.052720939327860664,-0.04511433143497408,P8
332,-0.01632297980094843,0.278722607472176,P8
336,0.3928671825423533,0.22894767512592537,P8
340,-0.0001306745678454662,0.27546812905042445,P8
344,-0.7894667826251585,-0.5807774579023908,P8
348,0.15952817242557898,0.018685595136856636,P8
352,-0.2523067245290972,-0.30319897663390794,P8
356,0.6884313741336759,-0.21309433155987093,P8
360,-0.23261022412789267,0.8506547141298132,P8
364,0.2816116412348406,-0.3300638227116449,P8
368,-0.24903149265507257,0.3018004721666841,P8
372,0.5272938146723758,0.18299639079018107,P8
376,0.07516271725867842,0.5412026379909355,P8
380,0.09016850352715947,-0.16971541963871412,P8
384,0.6642208435941072,0.041755804555281786,P8
388,0.1940854883439844,-0.0396609891561071,P8
392,-0.4508740830297434,-0.24057601129244258,P8
396,0.40487932989260716,-0.039083633713114935,P8
400,-0.3297320322708723,0.38193718051802844,P8
404,-0.37511959954631435,-0.929038761664556,P8
408,-0.2547321428529513,0.5160187638430708,P8
412,0.0984665502566261,-0.556386739555786,P8
416,-0.2110562922594566,-0.3137173519584601,P8
420,-0.017720865544621347,0.6362552300938309,P8
424,-0.8526944793058135,1.1433264174668025,P8
428,0.3684351627830621,0.4486510276667106,P8
432,-0.8195056196886827,-0.22292935132229932,P8
436,-0.22690917364116883,0.7994112221628698,P8
440,-0.23497006497040135,-0.12414516575495788,P8
444,-1.6597374724369496,0.7267938774323106,P8
448,0.3758188688155206,-0.5900852777507555,P8
452,-0.19138357922049026,0.08968265600511943,P8
456,0.4738038085673998,-0.19064973228784576,P8
460,0.1040953946627408,0.5537108675838696,P8
464,0.5922001756300044,0.9081456155201806,P8
468,-0.28729155648367527,0.1579537565435682,P8
472,-0.3365070388604908,-0.7731481554884982,P8
476,0.8462777860974048,-0.3884639862567147,P8
480,-0.2074637210368993,-0.3613057031863924,P8
484,-0.9148413152376648,0.12305512338172629,P8
488,0.3799145880695507,-0.9761266587111952,P8
492,-0.6805706662194775,0.2585758666036959,P8
496,0.11906020707086601,-0.1467487961057571,P8
500,0.1374941958617486,0.24041501533468726,P8
504,0.041601169762721706,0.3219007726158413,P8
508,-0.4509481555965246,-0.01984767306510901,P8
512,0.16018011433536627,0.9636225788735728,P8
516,0.37886488948903707,0.15359704861568788,P8
520,0.37220829849129544,0.9916590925566205,P8
524,-0.9485191907968327,0.4809126663486657,P8
528,0.056224247057921006,0.5220317470232301,P8
532,0.20102885011612803,-0.5647539287545952,P8
536,0.09703119472822795,0.3235107358861644,P8
540,-0.09133369223220418,0.5915013345498304,P8
544,-0.4356476601387286,0.5732361116454576,P8
548,-0.6288444544854909,-0.4948340359680812,P8
552,-0.464692459883818,0.16596787026335197,P8
556,0.693762199071935,-1.0496232402806769,P8
560,-0.16890687472079324,-1.0407285213618607,P8
564,-0.13175597640475492,-0.2418433276824819,P8
568,-0.19545357554193693,0.7655325840652928,P8
572,0.31288508294052875,-0.03224966811315706,P8
576,0.452461001744522,-0.12855981516348514,P8
580,-0.24627691053438464,-0.18582250775004844,P8
584,0.33365023110972303,-0.3609314494836933,P8
588,-0.09938726034930065,-0.061930130270718226,P8
592,0.13433523426667374,0.09274568263273499,P8
596,-0.3623900636403954,-0.11546505122447343,P8
600,-0.11576723203031827,-0.09866207081593847,P8
